SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SWCB,GO0023,CAMPOS BELOS,CAMPOS BELOS,GO,690.0,VFR Diurno,,,-13.006944444444445,-46.71083333333333,1,180.0,,,1200.0,,,20.0,,,heliport
2025_08_22_BR_aerodromes_public,SWBG,MT0009,ANDRÉ ANTÔNIO MAGGI,PONTES E LACERDA,MT,247.0,VFR Diurno,,,-15.193333333333333,-59.38527777777778,1,10.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWCQ,RO0007,COSTA MARQUES,COSTA MARQUES,RO,190.0,VFR Diurno,,,-12.420555555555556,-64.25166666666667,1,20.0,,,1495.0,,,20.0,,,heliport
2025_08_22_BR_aerodromes_public,SWDM,MT0015,DIAMANTINO,DIAMANTINO,MT,469.0,VFR Diurno,,,-14.376666666666667,-56.400555555555556,1,170.0,,,1630.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SWCZ,GO0024,CERES,CERES,GO,598.0,VFR Diurno,,,-15.34388888888889,-49.60444444444445,1,150.0,,,1078.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SWDN,TO0006,DIANÓPOLIS,DIANÓPOLIS,TO,736.0,VFR Diurno,,,-11.595277777777778,-46.84777777777778,1,100.0,,,1518.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWEK,MT0024,CANARANA,CANARANA,MT,398.0,VFR Diurno,,,-13.5775,-52.268055555555556,1,180.0,,,685.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SWFN,AM0002,FLORES,MANAUS,AM,62.0,VFR Diurno,,,-3.072777777777778,-60.02111111111111,1,110.0,,,799.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWFR,GO0014,FORMOSA,FORMOSA,GO,973.0,VFR Diurno,,,-15.556111111111111,-47.344722222222224,1,50.0,,,1400.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWEI,AM0009,EIRUNEPÉ,EIRUNEPÉ,AM,127.0,VFR Diurno,,,-6.639444444444444,-69.87972222222221,1,160.0,,,2300.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SWGI,TO0004,GURUPI,GURUPI,TO,350.0,VFR Diurno/Noturno,,,-11.739444444444443,-49.13333333333333,1,120.0,,,1730.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SWGN,TO0002,ARAGUAÍNA,ARAGUAÍNA,TO,236.0,VFR Diurno/Noturno,,,-7.2283333333333335,-48.240833333333335,1,90.0,,,1799.0,,,45.0,,,heliport
